,ID,Gender,DOB,Lead_Creation_Date,City_Code,City_Category,Employer_Code,Employer_Category1,Employer_Category2,Monthly_Income,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Contacted,Source,Source_Category,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,EMI,Var1,Scores
0,APPA70109647212,Male,03/06/88,05/07/16,C10028,C,COM0002222,A,4.0,2150.0,B002,P,Y,S122,B,0.0,10000.0,3.0,20.0,372.0,4,2.97
1,APPB10687939341,Male,13/07/81,01/07/16,C10003,A,COM0001784,C,4.0,4200.0,B004,P,Y,S133,C,0.0,69000.0,5.0,24.0,1985.0,7,0.35
2,APPC80449411414,Female,19/11/90,01/07/16,C10009,B,COM0045260,B,4.0,1000.0,B002,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3,APPD30665094501,Female,15/10/92,01/07/16,C10005,A,COM0000085,A,3.0,1465.0,B001,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
4,APPE80379821637,Male,21/09/88,01/07/16,C10005,A,COM0006422,A,4.0,2340.0,B004,P,Y,S143,B,500.0,10000.0,2.0,24.0,412.5,0,0.47
5,APPF90611935733,Female,26/12/87,01/07/16,C10010,A,COM0031460,B,4.0,1500.0,B004,P,N,S133,B,450.0,0.0,0.0,0.0,0.0,0,0.00
6,APPG20993415813,Female,22/09/73,01/07/16,C10002,A,COM0001420,A,4.0,6900.0,B003,G,N,S134,B,3000.0,0.0,0.0,0.0,0.0,0,3.71
7,APPH30656456927,Female,18/10/91,01/07/16,C10003,A,COM0001802,B,4.0,2055.5,B002,P,N,S133,B,749.7,0.0,0.0,0.0,0.0,0,0.51
8,APPI70297912043,Male,06/08/91,01/07/16,C10014,B,COM0035022,A,4.0,3000.0,B004,P,Y,S156,B,0.0,10000.0,1.0,17.9,825.0,10,0.89
9,APPJ50119937105,Male,13/07/84,01/07/16,C10001,A,COM0028251,B,4.0,4040.0,B002,P,Y,S133,B,0.0,30000.0,4.0,16.2,618.8,10,10.81
